from_cat,min_dist,x,y,wlr_id
1,61.3614112555106,466930.950794507,1597285.60713825,wlr_001
2,171.166996146158,473931.731266562,1600695.56071571,wlr_002
3,28.9483539285957,474046.567738322,1600702.50542279,wlr_003
4,25.7019941146299,467234.614959616,1597294.91889875,wlr_004
5,27.9034237511429,464243.466112974,1598805.29119648,wlr_005
6,636.649516066606,471638.2225208,1594369.15569725,wlr_008
7,2.2952690223636,466726.852459539,1597164.02904751,wlr_009
8,94.1034335663506,473931.950116043,1600704.53354444,wlr_010
9,27.8299705620396,464243.424165031,1598805.21254409,wlr_011
