X,Y,Unit ID,Installati,Lat,Long,Elevation,Location,Monitoring,wlr_id,wlr_id_num
466876.380594855640084,1597313.666291855741292,1,27/08/2012,14.448160000000000,74.692670000000007,505,Saimane_Down stream,Stream,WLR 001,001
473760.615159965178464,1600699.73427928541787,2,24/08/2012,14.478850000000000,74.756510000000006,511,Hosagadde Down stream,Stream,WLR 002,002
474055.863692270067986,1600675.090236576274037,3,24/08/2012,14.478630000000001,74.759249999999994,525,Hosagadde_V Notch,Stream,WLR 003,003
467209.388694196182769,1597289.996700623771176,4,30/08/2012,14.447950000000001,74.695760000000007,507,Saimane_Upstream,Stream,WLR 004,004
464268.086780989367981,1598792.160173539072275,5,13/02/2013,14.461494999999999,74.668450000000007,70,Suranejeddi Stream,Stream,WLR 005,005
472071.821008957049344,1593902.985173323424533,8,23/03/2013,14.417380000000000,74.740910000000000,520,Vatepal,Mystrica Swamp,WLR 008,008
466725.746326361666434,1597162.017896278994158,9,26/01/2013,14.446787040000000,74.691274280000002,,Sayimane open well,groundwater,WLR 009,009
473837.874660307948943,1600706.828067750902846,10,26/01/2013,14.478914880000000,74.757226860000003,,Hosagadde open well,groundwater,WLR 010,010
464267.980021409573965,1598792.116087353788316,11,27/05/2013,14.461494600000000,74.668449010000003,,Marase_2nd_WLR,stream,WLR 011,011
